id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
17127	Massac County	IL11	IL	11	Southern Five Regional Planning District and Development Commission	0	#N/A	#D0A5B1
17135	Montgomery County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17137	Morgan County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17139	Moultrie County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17141	Ogle County	IL04	IL	04	Blackhawk Hills Regional Council	0	#N/A	#CCD6EB
17145	Perry County	IL14	IL	14	Greater Egypt Regional Planning and Development Commission	0	#N/A	#E7ECF5
17149	Pike County	IL05	IL	05	Two Rivers Regional Council of Public Officials	0	#N/A	#E9ECF5
17151	Pope County	IL07	IL	07	Southeastern Illinois Regional Planning and Development Commission	0	#N/A	#30212E
17153	Pulaski County	IL11	IL	11	Southern Five Regional Planning District and Development Commission	0	#N/A	#D0A5B1
17155	Putnam County	IL03	IL	03	North Central Illinois Council of Governments	0	#N/A	#A3C3D9
17157	Randolph County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17159	Richland County	IL08	IL	08	Greater Wabash Regional Planning Commission	0	#N/A	#2D363C
17165	Saline County	IL07	IL	07	Southeastern Illinois Regional Planning and Development Commission	0	#N/A	#30212E
17169	Schuyler County	IL05	IL	05	Two Rivers Regional Council of Public Officials	0	#N/A	#E9ECF5
17171	Scott County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17173	Shelby County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17177	Stephenson County	IL04	IL	04	Blackhawk Hills Regional Council	0	#N/A	#CCD6EB
17181	Union County	IL11	IL	11	Southern Five Regional Planning District and Development Commission	0	#N/A	#D0A5B1
17185	Wabash County	IL08	IL	08	Greater Wabash Regional Planning Commission	0	#N/A	#2D363C
17187	Warren County	IL02	IL	02	Western Illinois Regional Council	0	#N/A	#AE76A6
17189	Washington County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17191	Wayne County	IL08	IL	08	Greater Wabash Regional Planning Commission	0	#N/A	#2D363C
17193	White County	IL08	IL	08	Greater Wabash Regional Planning Commission	0	#N/A	#2D363C
17195	Whiteside County	IL04	IL	04	Blackhawk Hills Regional Council	0	#N/A	#CCD6EB
18001	Adams County	IN06	IN	06	Northeastern Indiana Regional Coordinating Council	0	#N/A	#2A1018
