id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
01001	Autauga County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL	#383B41
01007	Bibb County	AL02	AL	02	West Alabama Regional Commission	AL03	Birmingham-Hoover, AL	#AE76A6
01009	Blount County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01015	Calhoun County	AL04	AL	04	East Alabama Regional Plan and Dev Commission	AL04	Anniston-Oxford-Jacksonville, AL	#CCD6EB
01021	Chilton County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01033	Colbert County	AL01	AL	01	Northwest Alabama Regional Council of Governments	AL01	Florence-Muscle Shoals, AL	#993955
01051	Elmore County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL	#383B41
01055	Etowah County	AL04	AL	04	East Alabama Regional Plan and Dev Commission	AL04	Gadsden, AL	#CCD6EB
01061	Geneva County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL	#30212E
01065	Hale County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL	#AE76A6
01067	Henry County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL	#30212E
01069	Houston County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL	#30212E
01073	Jefferson County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01077	Lauderdale County	AL01	AL	01	Northwest Alabama Regional Council of Governments	AL01	Florence-Muscle Shoals, AL	#993955
01079	Lawrence County	AL11	AL	11	North-Central Alabama Regional Council of Governments	AL11	Decatur, AL	#D0A5B1
01081	Lee County	AL10	AL	10	Lee-Russell Council of Governments	AL10	Auburn-Opelika, AL	#404143
01083	Limestone County	Al12	Al	12	Top of Alabama Council of Governments	AL12	Huntsville, AL	#DAC0D6
01085	Lowndes County	AL05	AL	05	South Central Alabama Development Commission	AL09	Montgomery, AL	#E9ECF5
01089	Madison County	Al12	Al	12	Top of Alabama Council of Governments	AL12	Huntsville, AL	#DAC0D6
01097	Mobile County	AL08	AL	08	South Alabama Regional Planning Commission	AL08	Mobile, AL	#2D363C
01101	Montgomery County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL	#383B41
01103	Morgan County	AL11	AL	11	North-Central Alabama Regional Council of Governments	AL11	Decatur, AL	#D0A5B1
01107	Pickens County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL	#AE76A6
01113	Russell County	AL10	AL	10	Lee-Russell Council of Governments	GA09	Columbus, GA-AL	#404143
01115	St. Clair County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01117	Shelby County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01125	Tuscaloosa County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL	#AE76A6
01127	Walker County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
02020	Anchorage, Municipality	AK50	AK	50	Anchorage Metropolitan Area Transportation Solutions	AK50	Anchorage, AK	#E9ECF5
02090	Fairbanks North Star Borough	AK51	AK	51	Fairbanks Metropolitan Area Transportation System	AK51	Fairbanks, AK	#2A1018
02170	Matanuska-Susitna Borough	AK50	AK	50	Anchorage Metropolitan Area Transportation Solutions	AK50	Anchorage, AK	#E9ECF5
04003	Cochise County	AZ05	AZ	05	Southeastern Arizona Governments Organization	AZ05	Sierra Vista-Douglas, AZ	#E9ECF5
04005	Coconino County	AZ03	AZ	03	Northern Arizona Council of Governments	AZ03	Flagstaff, AZ	#A3C3D9
04013	Maricopa County	AZ02	AZ	02	Maricopa Association of Governments	AZ02	Phoenix-Mesa-Scottsdale, AZ	#AE76A6
04015	Mohave County	AZ06	AZ	06	Western Arizona Council of Governments	AZ06	Lake Havasu City-Kingman, AZ	#2A1018
04019	Pima County	AZ04	AZ	04	Pima Association of Governments	AZ04	Tucson, AZ	#CCD6EB
04021	Pinal County	AZ01	AZ	01	Central Arizona Governments	AZ02	Phoenix-Mesa-Scottsdale, AZ	#993955
04025	Yavapai County	AZ03	AZ	03	Northern Arizona Council of Governments	AZ03	Prescott, AZ	#A3C3D9
04027	Yuma County	AZ06	AZ	06	Western Arizona Council of Governments	AZ06	Yuma, AZ	#2A1018
05025	Cleveland County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR	#2A1018
05031	Craighead County	AR07	AR	07	East Arkansas Planning and Development District	AR07	Jonesboro, AR	#30212E
05033	Crawford County	AR03	AR	03	Western Arkansas Planning and Development District	AR03	Fort Smith, AR-OK	#A3C3D9
05035	Crittenden County AR07 TN02	TN02	TN	02	Memphis Area Association of Governments	TN02	Memphis, TN-MS-AR	#AE76A6
05035	Crittenden County AR07 TN02	AR07	AR	07	East Arkansas Planning and Development District	TN02	Memphis, TN-MS-AR	#30212E
05045	Faulkner County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05053	Grant County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR01	Little Rock-North Little Rock-Conway, AR	#2A1018
05069	Jefferson County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR	#2A1018
05079	Lincoln County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR	#2A1018
05081	Little River County	AR05	AR	05	Southwest Arkansas Planning and Development District	TX05	Texarkana, TX-AR	#E9ECF5
05085	Lonoke County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05087	Madison County	AR02	AR	02	Northwest Arkansas Economic Development District	AR02	Fayetteville-Springdale-Rogers, AR-MO	#AE76A6
05091	Miller County	AR05	AR	05	Southwest Arkansas Planning and Development District	TX05	Texarkana, TX-AR	#E9ECF5
05105	Perry County	AR04	AR	04	West Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#CCD6EB
05111	Poinsett County	AR07	AR	07	East Arkansas Planning and Development District	AR07	Jonesboro, AR	#30212E
05119	Pulaski County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05125	Saline County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05131	Sebastian County	AR03	AR	03	Western Arkansas Planning and Development District	AR03	Fort Smith, AR-OK	#A3C3D9
05143	Washington County	AR02	AR	02	Northwest Arkansas Economic Development District	AR02	Fayetteville-Springdale-Rogers, AR-MO	#AE76A6
06001	Alameda County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA	#993955
06007	Butte County	CA03	CA	03	Butte County Association of Governments	CA03	Chico, CA	#A3C3D9
06013	Contra Costa County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA	#993955
06019	Fresno County	CA04	CA	04	Fresno Council of Governments	CA04	Fresno, CA	#CCD6EB
06025	Imperial County	CA15	CA	15	Southern California Association of Governments	CA15	El Centro, CA	#F5F6FA
06029	Kern County	CA06	CA	06	Kern Council of Governments	CA06	Bakersfield, CA	#2A1018
06031	Kings County	CA07	CA	07	Kings County Association of Governments	CA07	Hanford-Corcoran, CA	#30212E
06037	Los Angeles County	CA15	CA	15	Southern California Association of Governments	CA15	Los Angeles-Long Beach-Anaheim, CA	#F5F6FA
06039	Madera County	CA50	CA	50	Madera County Transportation Commission	CA50	Madera, CA	#A9ACB3
06041	Marin County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA	#993955
06047	Merced County	CA05	CA	05	Merced County Association of Governments	CA05	Merced, CA	#E9ECF5
06053	Monterey County	CA02	CA	02	Association of Monterey Bay Area Governments	CA02	Salinas, CA	#AE76A6
06055	Napa County	CA01	CA	01	Association of Bay Area Governments	CA01	Napa, CA	#993955
06059	Orange County	CA15	CA	15	Southern California Association of Governments	CA15	Los Angeles-Long Beach-Anaheim, CA	#F5F6FA
06065	Riverside County	CA15	CA	15	Southern California Association of Governments	CA15	Riverside-San Bernardino-Ontario, CA	#F5F6FA
06069	San Benito County	CA02	CA	02	Association of Monterey Bay Area Governments	CA01	San Jose-Sunnyvale-Santa Clara, CA	#AE76A6
06071	San Bernardino County	CA15	CA	15	Southern California Association of Governments	CA15	Riverside-San Bernardino-Ontario, CA	#F5F6FA
06073	San Diego County	CA14	CA	14	San Diego Association of Governments	CA14	San Diego-Carlsbad, CA	#E7ECF5
06075	San Francisco, City and County of[10]	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA	#993955
06077	San Joaquin County	CA08	CA	08	San Joaquin Council of Governments	CA08	Stockton-Lodi, CA	#2D363C
06079	San Luis Obispo County	CA17	CA	17	San Luis Obsipo Council of Governments	CA17	San Luis Obispo-Paso Robles-Arroyo Grande, CA	#9F8C9C
06081	San Mateo County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA	#993955
06083	Santa Barbara County	CA16	CA	16	Santa Barbara County Association of Governments	CA16	Santa Maria-Santa Barbara, CA	 #987981
06085	Santa Clara County	CA01	CA	01	Association of Bay Area Governments	CA01	San Jose-Sunnyvale-Santa Clara, CA	#993955
06087	Santa Cruz County	CA02	CA	02	Association of Monterey Bay Area Governments	CA02	Santa Cruz-Watsonville, CA	#AE76A6
06089	Shasta County	CA18	CA	18	Superior California Economic Development	CA18	Redding, CA	#9BA6AD
06095	Solano County	CA01	CA	01	Association of Bay Area Governments	CA01	Vallejo-Fairfield, CA	#993955
06097	Sonoma County	CA01	CA	01	Association of Bay Area Governments	CA01	Santa Rosa, CA	#993955
06099	Stanislaus County	CA09	CA	09	Stanislaus Council of Governments	CA09	Modesto, CA	#383B41
06101	Sutter County	CA13	CA	13	Sacremento Area Council of Governments	CA13	Yuba City, CA	#D5E3ED
06107	Tulare County	CA10	CA	10	Tulare Association of Governments	CA10	Visalia-Porterville, CA	#404143
06111	Ventura County	CA15	CA	15	Southern California Association of Governments	CA15	Oxnard-Thousand Oaks-Ventura, CA	#F5F6FA
06115	Yuba County	CA13	CA	13	Sacremento Area Council of Governments	CA13	Yuba City, CA	#D5E3ED
08001	Adams County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08005	Arapahoe County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08013	Boulder County	CO01	CO	01	Denver Regional Council of Government	CO01	Boulder, CO	#993955
08014	Broomfield, City and County of	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08019	Clear Creek County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08031	Denver, City and County of	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08035	Douglas County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08039	Elbert County	CO04	CO	04	East Central Council of Governments	CO01	Denver-Aurora-Lakewood, CO	#CCD6EB
08041	El Paso County	CO02	CO	02	Pikes Peak Area Council of Governments	CO02	Colorado Springs, CO	#AE76A6
08047	Gilpin County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08059	Jefferson County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO	#993955
08069	Larimer County	CO50	CO	50	North Front Range MPO	CO50	Fort Collins, CO	#D0A5B1
08077	Mesa County	CO08	CO	08	Associated Governments of Northwest Colarado	CO08	Grand Junction, CO	#2D363C
08093	Park County	CO02	CO	02	Pikes Peak Area Council of Governments	CO01	Denver-Aurora-Lakewood, CO	#AE76A6
08101	Pueblo County	CO10	CO	10	Southern Colarado Economic Development District	CO10	Pueblo, CO	#404143
08119	Teller County	CO02	CO	02	Pikes Peak Area Council of Governments	CO02	Colorado Springs, CO	#AE76A6
08123	Weld County	CO50	CO	50	North Front Range MPO	CO50	Greeley, CO	#D0A5B1
10001	Kent County	DE51	DE	51	Dover / Kent County MPO	DE51	Dover, DE	#AE76A6
10003	New Castle	DE50	DE	50	Wilmington Area Planning Council  DE01 MD02	PA01	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	#993955
10005	Sussex County	DE99	DE	99	Salisbury-Wicomico MPO DE03 MD04	MD05	Salisbury, MD-DE	#A3C3D9
11001	District of Columbia	DC01	DC	01	Metropolitan Washington Council of Governments	DC01	Washington-Arlington-Alexandria, DC-VA-MD-WV	#993955
12001	Alachua County	FL09	FL	09	North Central Florida Regional Planning Council	FL09	Gainesville, FL	#383B41
12003	Baker County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL	#AE76A6
12005	Bay County	FL07	FL	07	West Florida Regional Planning Council	FL07	Panama City, FL	#30212E
12009	Brevard County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Palm Bay-Melbourne-Titusville, FL	#993955
12011	Broward County	FL03	FL	03	South Florida Regional Council	FL03	Miami-Fort Lauderdale-West Palm Beach, FL	#A3C3D9
12015	Charlotte County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	Punta Gorda, FL	#CCD6EB
12017	Citrus County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Homosassa Springs, FL	#E9ECF5
12019	Clay County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL	#AE76A6
12021	Collier County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	Naples-Immokalee-Marco Island, FL	#CCD6EB
12031	Duval County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL	#AE76A6
12033	Escambia County	FL07	FL	07	West Florida Regional Planning Council	FL07	Pensacola-Ferry Pass-Brent, FL	#30212E
12035	Flagler County	FL02	FL	02	Northeast Florida Regional Council	FL01	Deltona-Daytona Beach-Ormond Beach, FL	#AE76A6
12039	Gadsden County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL	#2D363C
12041	Gilchrist County	FL09	FL	09	North Central Florida Regional Planning Council	FL09	Gainesville, FL	#383B41
12045	Gulf County	FL08	FL	08	Apalachee Regional Planning Council	FL07	Panama City, FL	#2D363C
12053	Hernando County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL	#E9ECF5
12055	Highlands County	FL10	FL	10	Central Florida Regional Planning Commission	FL10	Sebring, FL	#404143
12057	Hillsborough County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL	#E9ECF5
12061	Indian River County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL06	Sebastian-Vero Beach, FL	#2A1018
12065	Jefferson County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL	#2D363C
12069	Lake County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL	#993955
12071	Lee County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	Cape Coral-Fort Myers, FL	#CCD6EB
12073	Leon County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL	#2D363C
12081	Manatee County	FL05	FL	05	Tampa Bay Regional Planning Council	FL04	North Port-Sarasota-Bradenton, FL	#E9ECF5
12083	Marion County	FL09	FL	09	North Central Florida Regional Planning Council	FL09	Ocala, FL	#383B41
12085	Martin County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL06	Port St. Lucie, FL	#2A1018
12086	Miami-Dade County	FL03	FL	03	South Florida Regional Council	FL03	Miami-Fort Lauderdale-West Palm Beach, FL	#A3C3D9
12089	Nassau County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL	#AE76A6
12091	Okaloosa County	FL07	FL	07	West Florida Regional Planning Council	FL07	Crestview-Fort Walton Beach-Destin, FL	#30212E
12095	Orange County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL	#993955
12097	Osceola County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL	#993955
12099	Palm Beach County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL03	Miami-Fort Lauderdale-West Palm Beach, FL	#2A1018
12101	Pasco County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL	#E9ECF5
12103	Pinellas County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL	#E9ECF5
12105	Polk County	FL10	FL	10	Central Florida Regional Planning Commission	FL10	Lakeland-Winter Haven, FL	#404143
12109	St. Johns County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL	#AE76A6
12111	St. Lucie County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL06	Port St. Lucie, FL	#2A1018
12113	Santa Rosa County	FL07	FL	07	West Florida Regional Planning Council	FL07	Pensacola-Ferry Pass-Brent, FL	#30212E
12115	Sarasota County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	North Port-Sarasota-Bradenton, FL	#CCD6EB
12117	Seminole County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL	#993955
12119	Sumter County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	The Villages, FL	#993955
12127	Volusia County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Deltona-Daytona Beach-Ormond Beach, FL	#993955
12129	Wakulla County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL	#2D363C
12131	Walton County	FL07	FL	07	West Florida Regional Planning Council	FL07	Crestview-Fort Walton Beach-Destin, FL	#30212E
13007	Baker County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA	#CCD6EB
13013	Barrow County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#2A1018
13015	Bartow County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#AE76A6
13025	Brantley County	GA11	GA	11	Southern Georgia Regional Commission	GA12	Brunswick, GA	#D0A5B1
13027	Brooks County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA	#D0A5B1
13029	Bryan County	GA12	GA	12	Coastal Regional Commission	GA12	Savannah, GA	#DAC0D6
13033	Burke County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC	#2D363C
13035	Butts County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13045	Carroll County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13047	Catoosa County	GA02	GA	02	Northwest Georgia Regional Planning Commission	TN08	Chattanooga, TN-GA	#AE76A6
13051	Chatham County	GA12	GA	12	Coastal Regional Commission	GA12	Savannah, GA	#DAC0D6
13053	Chattahoochee County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL	#383B41
13057	Cherokee County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13059	Clarke County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA	#2A1018
13063	Clayton County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13067	Cobb County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13073	Columbia County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC	#2D363C
13077	Coweta County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13083	Dade County	GA02	GA	02	Northwest Georgia Regional Planning Commission	TN08	Chattanooga, TN-GA	#AE76A6
13085	Dawson County	GA03	GA	03	Georgia Mountains Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#A3C3D9
13089	DeKalb County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13095	Dougherty County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA	#CCD6EB
13097	Douglas County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13101	Echols County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA	#D0A5B1
13103	Effingham County	GA12	GA	12	Coastal Regional Commission	GA12	Savannah, GA	#DAC0D6
13113	Fayette County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13115	Floyd County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA02	Rome, GA	#AE76A6
13117	Forsyth County	GA03	GA	03	Georgia Mountains Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#A3C3D9
13121	Fulton County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13127	Glynn County	GA12	GA	12	Coastal Regional Commission	GA12	Brunswick, GA	#DAC0D6
13135	Gwinnett County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13139	Hall County	GA03	GA	03	Georgia Mountains Regional Commission	GA03	Gainesville, GA	#A3C3D9
13143	Haralson County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#AE76A6
13145	Harris County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL	#383B41
13149	Heard County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13151	Henry County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13153	Houston County	GA07	GA	07	Middle Georgia Planning Commission	GA07	Warner Robins, GA	#30212E
13159	Jasper County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#2A1018
13171	Lamar County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13173	Lanier County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA	#D0A5B1
13177	Lee County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA	#CCD6EB
13179	Liberty County	GA12	GA	12	Coastal Regional Commission	GA12	Hinesville, GA	#DAC0D6
13181	Lincoln County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC	#2D363C
13183	Long County	GA12	GA	12	Coastal Regional Commission	GA12	Hinesville, GA	#DAC0D6
13185	Lowndes County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA	#D0A5B1
13189	McDuffie County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC	#2D363C
13191	McIntosh County	GA12	GA	12	Coastal Regional Commission	GA12	Brunswick, GA	#DAC0D6
13195	Madison County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA	#2A1018
13197	Marion County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL	#383B41
13199	Meriwether County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13211	Morgan County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#2A1018
13213	Murray County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA02	Dalton, GA	#AE76A6
13215	Muscogee County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL	#383B41
13217	Newton County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#2A1018
13219	Oconee County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA	#2A1018
13221	Oglethorpe County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA	#2A1018
13223	Paulding County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#AE76A6
13225	Peach County	GA07	GA	07	Middle Georgia Planning Commission	GA07	Warner Robins, GA	#30212E
13227	Pickens County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#AE76A6
13231	Pike County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13235	Pulaski County	GA07	GA	07	Middle Georgia Planning Commission	GA07	Warner Robins, GA	#30212E
13245	Richmond County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC	#2D363C
13247	Rockdale County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#993955
13255	Spalding County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#E9ECF5
13273	Terrell County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA	#CCD6EB
13295	Walker County	GA02	GA	02	Northwest Georgia Regional Planning Commission	TN08	Chattanooga, TN-GA	#AE76A6
13297	Walton County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA	#2A1018
13313	Whitfield County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA02	Dalton, GA	#AE76A6
13321	Worth County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA	#CCD6EB
15003	Honolulu, City and County	HI50	HI	50	Oahu Metropolian Planning Organization 	HI50	Urban Honolulu, HI	#993955
15005	Kalawao County	HI99	HI	99	Unattached	HI51	Kahului-Wailuku-Lahaina, HI	#A3C3D9
15009	Maui County	HI51	HI	51	Maui MPO	HI51	Kahului-Wailuku-Lahaina, HI	#AE76A6
16001	Ada County	ID01	ID	01	Community Planning Association of Southwest Idaho	ID01	Boise City, ID	#993955
16005	Bannock County	ID02	ID	02	Southeast Idaho Council of Governments	ID02	Pocatello, ID	#AE76A6
16015	Boise County	ID99	ID	99	Unattached	ID01	Boise City, ID	#30212E
16019	Bonneville County	ID03	ID	03	East Central Planning and Development Association	ID03	Idaho Falls, ID	#A3C3D9
16023	Butte County	ID03	ID	03	East Central Planning and Development Association	ID03	Idaho Falls, ID	#A3C3D9
16027	Canyon County	ID01	ID	01	Community Planning Association of Southwest Idaho	ID01	Boise City, ID	#993955
16041	Franklin County	ID02	ID	02	Southeast Idaho Council of Governments	UT04	Logan, UT-ID	#AE76A6
16045	Gem County	ID99	ID	99	Unattached	ID01	Boise City, ID	#30212E
16051	Jefferson County	ID03	ID	03	East Central Planning and Development Association	ID03	Idaho Falls, ID	#A3C3D9
16055	Kootenai County	ID04	ID	04	Panhandle Area Council	ID04	Coeur d'Alene, ID	#CCD6EB
16069	Nez Perce County	ID05	ID	05	Clearwater Economic Development Association	ID05	Lewiston, ID-WA	#E9ECF5
16073	Owyhee County	ID99	ID	99	Unattached	ID01	Boise City, ID	#30212E
17003	Alexander County	IL11	IL	11	Southern Five Regional Planning District and Development Commission	MO17	Cape Girardeau, MO-IL	#D0A5B1
17005	Bond County	IL99	IL	99	Unattached	MO01	St. Louis, MO-IL	#A9ACB3
